Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"Hunter Greene","CIN",5,3,16,16,0,0,6,92.2,103,3.7877698881237083,86.49041558523362,3.8322624092177087,88.68686790752176,-0.04449252109400037,96.1333932910861,77.97780491365278,83.10009486948995,90.44826283710168,118.59989288300743,123.3701399329311,0.16452442,0.8726820703595877,1.049889907706529,-0.1970354581169561,2.0167887274342187,"Hunter Greene",22182,668881
"Shota Imanaga","CHC",7,2,15,15,0,0,9,85,84,3.0705883041962636,76.24557098679774,3.256341952881599,81.93647594864795,-0.18575364868533528,218.4001362168208,94.45677410679491,98.08393492886658,85.82403749566475,108.1176792307369,49.50440494062045,0.20114943,1.195910133421421,1.3246371764689684,-0.2000279284503259,1.9956947818307045,"Shota Imanaga",33829,684007
"Gavin Stone","LAD",9,2,15,15,1,1,8,89,70,2.7303371371652227,67.19058623408793,3.3537642946087973,81.2259287765416,-0.6234271574435746,101.92006356784971,54.12691544481167,91.95368899581243,87.19869925620803,87.33740098501967,85.69206596637173,0.12534819,1.7313102940097451,1.7502585425972939,0.14461633262718165,1.9825953336464177,"Gavin Stone",27792,694813
"Matt Waldron","SDP",5,6,16,16,0,0,7,89.1,84,3.425373219652363,86.38007386030272,3.3866755823192527,83.8387367102541,0.03869763733311027,113.24451507134413,62.91244111831548,92.46213880555398,90.3482645286956,101.14234495677823,89.31324663074275,0.15322581,1.12752415984869,0.4975511133670807,0.6731976790064123,1.9583861563229654,"Matt Waldron",25550,663362
"Mitch Keller","PIT",9,4,16,16,1,0,9,98.1,91,3.2033899029997785,75.7711419296041,3.479073762523824,85.40577912945037,-0.2756838595240456,122.68155798485611,65.31926075067956,99.13712078368371,94.70665517009569,97.28010730904045,79.2948148021137,0.15274463,1.0367436707019806,0.5145418308675289,0.5221218780451482,1.9158015120857177,"Mitch Keller",17594,656605
"Jake Irvin","WSN",5,6,16,16,0,0,10,92,81,3.130434815058862,76.30793778897211,3.4348585777787495,84.06647703276086,-0.3044237627198876,147.42009194635403,78.54286012965565,94.67231980090601,84.35526247751783,98.5902283087399,66.87706877477727,0.16576087,1.1113141067326069,1.128676950931549,0.07287949936601912,1.8854824190021617,"Jake Irvin",21504,663623
"Max Fried","ATL",7,3,15,15,2,1,8,90,80,3.0000000655651107,71.74711204370284,3.262877900688737,81.99208001883179,-0.2628778351236263,107.85191908436582,53.52550529590565,85.88698829499114,82.78063186233847,100.0929832419514,92.80594312387976,0.14804469,1.2674161233007908,2.1921219434589148,-0.82878116618187,1.8704026865629917,"Max Fried",13743,608331
"Freddy Peralta","MIL",5,4,16,16,0,0,6,87,112,4.034482891295956,97.47395556660592,3.553299367158507,86.64736577337781,0.4811835241374487,131.50975941303187,101.51389047403099,89.19224898166125,90.9873334385141,138.2000085063692,105.08727293159959,0.2231405,0.11246810248121619,0.8386863088235259,-0.7289725082513309,1.8515947606793517,"Freddy Peralta",18679,642547
"Aaron Nola","PHI",9,3,16,16,1,1,11,101,90,3.3861387097804014,81.8317226676196,3.8373553652819936,92.2153959918605,-0.4512166555015922,131.04008173009248,103.34132277477362,88.42306072313897,81.4487657877231,100.78112256976708,76.90862921404766,0.1625,1.114328001625836,1.8825712986290455,-0.6134601482952071,1.7545641660170106,"Aaron Nola",16149,605400
"Yusei Kikuchi","TOR",4,7,16,16,0,0,7,83.1,86,3.996000060974122,99.94307265270277,3.545989015533448,85.92943547799014,0.4500110454406743,155.5319141046447,102.25606485734619,114.64776939408958,106.3890001717287,107.03953682346913,68.82159465064859,0.18591549,0.5124722681939602,-0.05300988722592592,0.5923555769432527,1.7461024480387652,"Yusei Kikuchi",20633,579328
