Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
"JP Sears","OAK",7,3,13,13,0,0,7,79.2,67,3.276150732196847,83.92322151374317,3.9145748075568485,98.30118193540781,-0.6384240753600015,161.56028284427717,97.23855701909116,96.63211554361793,83.21353199701998,93.09402419960014,57.62185379278283,0.16352201,0.8429722674190998,0.5664444789290428,0.3810985094288536,1.2531320527063525,"JP Sears",23429,676664
"Tobias Myers","MIL",3,3,13,13,0,0,4,74,70,3.040540618910419,73.46010112610334,3.8902052445338544,94.70499905293609,-0.8496646256234355,149.8824463933319,108.49764629538386,103.48621415737055,94.38670055086646,101.46966636582133,67.69950504483094,0.17152104,0.9138261461630464,0.5441933441907167,0.3800608956443958,1.238213260448131,"Tobias Myers",22191,668964
"David Peterson","NYM",6,2,13,13,0,0,8,75.2,63,2.73568287684913,69.13536033005421,3.6365440856529245,90.2112797390858,-0.9008612088037946,79.07591138508339,53.05391489583319,99.9272955940507,101.53846768546782,88.73809509936282,112.21887968158306,0.10691824,1.0292580723762512,0.46852110512554646,0.5603205008512924,1.1966997918104787,"David Peterson",20302,656849
"Sonny Gray","STL",4,5,13,13,0,0,6,77.1,92,4.771551743752182,117.41083864351901,3.8464028057246944,96.15160731128843,0.9251489380274878,196.98835812423053,145.3494299054371,102.74454574419518,93.32891654002712,128.7758788391468,65.37233483194052,0.234375,-0.16114185005426407,-0.5232165642082691,0.36404484167864537,1.1482568978803764,"Sonny Gray",12768,543243
"Patrick Corbin","WSN",5,6,14,14,0,0,5,76,72,5.447368489408098,132.78585256072296,3.9897784937781973,97.3781316158332,1.4575899956299008,131.04008173009248,116.20668804776919,118.53127136363435,112.3256918599308,97.43190070044233,74.35275242648373,0.1570997,-0.6815039217472076,-0.8668501917272806,0.07033605557630507,1.0322168658258692,"Patrick Corbin",9323,571578
"Corbin Burnes","BAL",5,5,13,13,0,0,8,75.2,65,4.16299568216172,105.07409373864994,4.046235724214871,99.53304460624565,0.11675995794684813,117.55319089304544,102.37892014921677,105.51374381049455,99.22377737050329,90.31509817003736,76.82913798318268,0.14150943,-0.49600984156131744,0.10334440972656012,-0.655825915724092,1.021331437543689,"Corbin Burnes",19361,669203
"George Kirby","SEA",4,6,13,13,0,0,7,72.2,70,4.33486253702925,113.74206367967548,3.875823896804771,97.42921961541121,0.4590386402244788,194.76268311414805,117.26613173821194,118.57062849607414,106.61762563386495,98.18872236231454,50.41454891887089,0.18095238,-0.300017804838717,-0.18592984974384308,-0.14416105940267626,1.0096613793921836,"George Kirby",25436,669923
"Mitchell Parker","WSN",2,6,14,14,0,0,6,68.2,69,5.2427185725082595,127.79727619676584,4.062338545754411,99.1187329541317,1.1803800267538485,114.16370755464722,116.92464774366324,112.52792075275534,113.01967359991201,101.00068925047468,88.47005610564388,0.15359477,-0.6763396859169006,-0.6534528639167547,-0.1135601291409204,0.9694158698013593,"Mitchell Parker",27636,680730
"Jameson Taillon","CHC",6,5,14,14,0,0,8,84,66,4.071428663876594,101.09737042411535,4.078750935163088,102.19698075504596,-0.0073222712864939865,184.8001152267868,124.25563739986973,96.72962213504108,83.150188325383,87.46290707632654,47.32838664070407,0.15680473,0.4906342700123787,0.7376378085464239,-0.21617072366469658,0.9685728873120705,"Jameson Taillon",11674,592791
"Luis Castillo","SEA",5,3,13,13,0,0,8,75.2,75,3.4493392795054247,90.50689949932884,3.874429553205023,97.393528438353,-0.42509027369959806,159.5744672437124,112.61681216413841,98.52851338401581,88.6680563736412,107.9436279940984,67.64467731403465,0.18892508,0.5233321953564882,0.5096881273202598,0.07751665947589159,0.9566269857731198,"Luis Castillo",15689,622491
"Nestor Cortes","NYY",5,4,13,12,0,0,4,67.2,63,4.655172654358151,114.80594367683108,4.311920103144725,101.84030456506734,0.3432525512134257,126.59574403866432,125.93111894251541,109.12448029070158,101.5117200103717,98.36220033157204,77.69787794742426,0.1590106,-0.04342789947986603,0.19730710238218307,-0.2417041703408676,0.945393039705616,"Nestor Cortes",17874,641482
"Tyler Anderson","LAA",3,6,13,13,0,0,3,73,71,4.931506978165796,119.21518737369978,4.256180818954672,100.87177278876148,0.6753261592111244,107.00354554443334,116.73066891415007,103.330700835105,103.9425225859712,99.27625564466224,92.77847903457587,0.14873418,-0.8262038445100188,-0.10968570783734322,-0.7985401659055361,0.9117005188368333,"Tyler Anderson",12880,542881
"Frankie Montas","- - -",4,5,13,13,0,0,4,72,75,4.500000059604646,105.57149821815459,4.271211246612631,101.16959535519157,0.2287888129920148,85.3125531823956,111.51146840640543,93.19306480401686,102.39791613561451,108.71749990131312,127.43436245981725,0.13915858,-0.36638576816767454,0.282997309230268,-0.6547916485291899,0.9062593073905705,"Frankie Montas",14309,593423
"Aaron Nola","PHI",3,5,14,14,0,0,7,80.1,84,3.921161980892592,94.76145759428324,4.4063542038519925,105.64540167307158,-0.48519222295940034,138.9819048586314,149.91583699099124,112.84602404840136,107.2326928106764,108.74263685719112,78.24230482959364,0.17919075,0.2085600420832634,-0.09978354419581592,0.3095986840407965,0.8754013297118124,"Aaron Nola",16149,605400
"Austin Gomber","COL",4,5,13,13,0,0,7,76.1,56,4.244541555422013,90.68746378381498,4.470932262902793,104.52603193974652,-0.22639070748078005,156.8000977714918,136.73546041648515,110.49009600526529,96.58493432651632,79.12713425170791,50.463705346147314,0.13564669,1.0129501726478338,0.6270698569715023,0.3859113384675592,0.868676769124942,"Austin Gomber",16561,596295
"Andre Pallante","STL",3,5,12,12,0,0,4,69.2,51,3.61722501242697,89.00698244076749,3.9778167903965045,99.37828041628556,-0.36059177796953445,61.88003859476591,57.62315247848382,93.49794942169629,100.25764472302608,77.96491828374354,125.99365816752326,0.07167236,0.6737700924277306,0.7460607418324798,-0.13311365518911067,0.8585148780207617,"Andre Pallante",26108,669467
"Chris Bassitt","TOR",4,7,13,13,0,0,4,71.2,81,5.148837323495672,128.77643014190338,4.108872751521703,99.84266973832521,1.039964571973969,117.19148876722068,108.09309256334652,118.05733573202188,117.0212140721792,112.19369684914659,95.73536785348325,0.17554859,-1.0200938694179058,-0.9636973924934864,-0.16585144535762408,0.853620960658736,"Chris Bassitt",12304,605135
"Joey Estes","OAK",5,4,13,12,1,1,6,71.1,49,3.785046948252929,96.95931580814151,4.519783480347108,113.77389933280936,-0.7347365320941792,147.69503469971826,119.45802479099656,100.12253062309702,86.21656734457613,74.40073267804391,50.37456894034331,0.12714777,0.3116404004395008,0.13967350125312805,0.20306340690325309,0.8394340346067019,"Joey Estes",26257,683155
"Kyle Gibson","STL",3,4,13,13,0,0,4,72,67,4.625000183780996,113.80472841255205,4.2851001651198795,106.92316236556083,0.3399000186611163,93.80005846977814,111.51147136045066,111.08525510207896,111.02090148808426,96.4963943312372,102.87456490866487,0.1318328,-0.2169359482359141,-0.5961268059909344,0.3731409772536368,0.7761647191963696,"Kyle Gibson",10123,502043
